component,layer,head,abs_delta
z,12,28,0.00732421875
z,11,6,0.00732421875
z,13,15,0.00732421875
z,14,28,0.007080078125
z,15,9,0.007080078125
z,15,15,0.007080078125
z,12,11,0.007080078125
z,14,12,0.007080078125
z,22,28,0.007080078125
z,9,15,0.007080078125
z,17,20,0.007080078125
z,18,6,0.007080078125
z,18,21,0.007080078125
z,20,7,0.007080078125
z,17,19,0.007080078125
z,14,16,0.007080078125
z,12,12,0.007080078125
z,15,18,0.007080078125
z,24,18,0.007080078125
z,8,24,0.007080078125
z,31,23,0.007080078125
z,12,4,0.007080078125
z,11,22,0.007080078125
z,23,1,0.007080078125
z,15,17,0.007080078125
z,11,9,0.007080078125
z,12,30,0.007080078125
z,30,1,0.007080078125
z,17,10,0.007080078125
z,15,6,0.0068359375
z,14,15,0.0068359375
z,13,23,0.0068359375
z,29,22,0.0068359375
z,23,30,0.0068359375
z,24,25,0.0068359375
z,24,29,0.0068359375
z,11,31,0.0068359375
z,12,19,0.0068359375
z,13,24,0.0068359375
z,8,27,0.0068359375
z,17,6,0.0068359375
z,9,8,0.0068359375
z,19,26,0.0068359375
z,28,24,0.0068359375
z,16,0,0.0068359375
z,12,16,0.0068359375
z,11,23,0.006591796875
z,13,7,0.006591796875
z,13,11,0.006591796875
z,25,19,0.006591796875
z,13,31,0.006591796875
z,18,9,0.006591796875
z,9,12,0.006591796875
z,9,14,0.006591796875
z,18,8,0.006591796875
z,9,6,0.006591796875
z,17,25,0.006591796875
z,19,22,0.006591796875
z,17,26,0.006591796875
z,17,31,0.006591796875
z,17,28,0.006591796875
z,16,28,0.006591796875
z,17,15,0.006591796875
z,16,12,0.006591796875
z,9,25,0.006591796875
z,14,4,0.006591796875
z,14,3,0.006591796875
z,19,5,0.006591796875
z,12,23,0.006591796875
z,11,19,0.006591796875
z,13,10,0.006591796875
z,13,4,0.00634765625
z,20,1,0.00634765625
z,20,8,0.00634765625
z,12,17,0.00634765625
z,11,16,0.00634765625
z,25,2,0.00634765625
z,17,22,0.00634765625
z,28,28,0.00634765625
z,12,29,0.00634765625
z,9,5,0.00634765625
z,18,29,0.00634765625
z,19,15,0.00634765625
z,19,21,0.00634765625
z,12,15,0.00634765625
z,16,30,0.00634765625
z,17,13,0.00634765625
z,16,26,0.00634765625
z,15,0,0.00634765625
z,9,22,0.00634765625
z,17,4,0.00634765625
z,17,1,0.00634765625
z,24,26,0.00634765625
z,11,28,0.00634765625
z,12,14,0.00634765625
z,13,22,0.00634765625
z,12,7,0.00634765625
z,13,28,0.00634765625
z,31,16,0.00634765625
z,24,12,0.00634765625
z,10,20,0.00634765625
z,14,1,0.00634765625
z,22,17,0.00634765625
z,22,10,0.00634765625
z,24,27,0.006103515625
z,25,14,0.006103515625
z,18,24,0.006103515625
z,12,18,0.006103515625
z,12,31,0.006103515625
z,29,1,0.006103515625
z,18,0,0.006103515625
z,24,28,0.006103515625
z,20,12,0.006103515625
z,19,30,0.006103515625
z,20,31,0.006103515625
z,26,20,0.006103515625
z,23,29,0.006103515625
z,16,11,0.006103515625
z,24,19,0.006103515625
z,13,13,0.006103515625
z,14,9,0.006103515625
z,14,14,0.006103515625
z,13,1,0.006103515625
z,24,23,0.006103515625
z,21,22,0.006103515625
z,26,24,0.006103515625
z,20,27,0.006103515625
z,22,25,0.006103515625
z,9,19,0.006103515625
z,21,17,0.006103515625
z,22,21,0.006103515625
z,26,29,0.006103515625
z,27,7,0.006103515625
z,8,1,0.005859375
z,8,10,0.005859375
z,24,6,0.005859375
z,15,7,0.005859375
z,11,24,0.005859375
z,13,30,0.005859375
z,14,10,0.005859375
z,13,17,0.005859375
z,13,16,0.005859375
z,13,14,0.005859375
z,13,21,0.005859375
z,24,20,0.005859375
z,23,2,0.005859375
z,25,20,0.005859375
z,23,20,0.005859375
z,22,15,0.005859375
z,22,11,0.005859375
z,21,13,0.005859375
z,22,26,0.005859375
z,18,4,0.005859375
z,7,19,0.005859375
z,16,23,0.005859375
z,16,18,0.005859375
z,16,24,0.005859375
z,16,16,0.005859375
z,19,17,0.005859375
z,19,10,0.005859375
z,19,7,0.005859375
z,19,1,0.005859375
z,18,18,0.005859375
z,17,24,0.005859375
z,19,20,0.005859375
z,19,18,0.005859375
z,12,24,0.005859375
z,11,7,0.005859375
z,12,25,0.005615234375
z,30,23,0.005615234375
z,18,10,0.005615234375
z,9,16,0.005615234375
z,18,23,0.005615234375
z,18,19,0.005615234375
z,27,26,0.005615234375
z,17,29,0.005615234375
z,18,5,0.005615234375
z,27,31,0.005615234375
z,28,5,0.005615234375
z,28,12,0.005615234375
z,19,31,0.005615234375
z,16,19,0.005615234375
z,16,10,0.005615234375
z,15,23,0.005615234375
z,14,19,0.005615234375
z,10,12,0.005615234375
z,22,2,0.005615234375
z,26,3,0.005615234375
z,26,19,0.005615234375
z,21,4,0.005615234375
z,21,2,0.005615234375
z,22,20,0.005615234375
z,21,27,0.005615234375
z,9,20,0.005615234375
z,9,24,0.005615234375
z,9,29,0.005615234375
z,28,20,0.005615234375
z,23,21,0.005615234375
z,15,28,0.005615234375
z,13,18,0.005615234375
z,29,23,0.005615234375
z,12,5,0.005615234375
z,12,6,0.005615234375
z,14,7,0.005615234375
z,16,27,0.00537109375
z,14,31,0.00537109375
z,11,30,0.00537109375
z,22,30,0.00537109375
z,7,29,0.00537109375
z,20,4,0.00537109375
z,11,27,0.00537109375
z,14,29,0.00537109375
z,23,17,0.00537109375
z,19,12,0.00537109375
z,20,2,0.00537109375
z,27,3,0.00537109375
z,28,2,0.00537109375
z,17,16,0.00537109375
z,27,24,0.00537109375
z,27,25,0.00537109375
z,19,14,0.00537109375
z,18,12,0.00537109375
z,17,5,0.00537109375
z,17,7,0.00537109375
z,19,4,0.00537109375
z,19,2,0.00537109375
z,25,7,0.00537109375
z,30,21,0.00537109375
z,18,14,0.00537109375
z,23,22,0.00537109375
z,21,24,0.00537109375
z,21,26,0.00537109375
z,22,0,0.00537109375
z,21,0,0.00537109375
z,24,11,0.00537109375
z,12,22,0.00537109375
z,17,21,0.005126953125
z,16,14,0.005126953125
z,20,5,0.005126953125
z,21,16,0.005126953125
z,21,3,0.005126953125
z,26,1,0.005126953125
z,23,27,0.005126953125
z,30,7,0.005126953125
z,17,9,0.005126953125
z,22,29,0.005126953125
z,15,3,0.005126953125
z,13,27,0.005126953125
z,23,0,0.005126953125
z,12,2,0.005126953125
z,24,7,0.005126953125
z,24,8,0.005126953125
z,30,30,0.005126953125
z,21,1,0.005126953125
z,26,6,0.005126953125
z,15,13,0.005126953125
z,15,10,0.005126953125
z,26,13,0.005126953125
z,22,6,0.005126953125
z,16,8,0.005126953125
z,22,19,0.005126953125
z,25,12,0.005126953125
z,29,4,0.005126953125
z,29,10,0.005126953125
z,25,5,0.005126953125
z,17,11,0.005126953125
z,18,17,0.005126953125
z,30,14,0.005126953125
z,29,16,0.005126953125
z,19,25,0.005126953125
z,18,20,0.005126953125
z,27,8,0.005126953125
z,17,14,0.005126953125
z,19,29,0.005126953125
z,27,12,0.005126953125
z,18,2,0.005126953125
z,20,26,0.005126953125
z,16,20,0.0048828125
z,20,6,0.0048828125
