component,layer,head,abs_delta
z,8,21,0.136474609375
z,15,14,0.13623046875
z,13,7,0.1357421875
z,25,10,0.1351318359375
z,9,22,0.135009765625
z,25,21,0.1348876953125
z,26,11,0.1343994140625
z,5,3,0.1337890625
z,4,14,0.133544921875
z,18,20,0.1331787109375
z,27,8,0.1329345703125
z,5,4,0.1322021484375
z,10,9,0.1318359375
z,7,23,0.131591796875
z,17,0,0.1312255859375
z,21,1,0.130615234375
z,7,7,0.130126953125
z,15,4,0.1300048828125
z,18,10,0.1295166015625
z,3,2,0.12939453125
z,5,19,0.1292724609375
z,15,17,0.1290283203125
z,13,3,0.128662109375
z,9,6,0.1285400390625
z,24,14,0.12841796875
z,23,14,0.1280517578125
z,7,1,0.1278076171875
z,13,17,0.12744140625
z,5,5,0.1251220703125
z,14,12,0.1248779296875
z,13,15,0.1248779296875
z,21,0,0.12353515625
z,4,6,0.123291015625
z,6,8,0.1231689453125
z,9,23,0.122314453125
z,17,21,0.121337890625
z,17,1,0.1212158203125
z,7,11,0.1201171875
z,19,13,0.1201171875
z,11,21,0.1197509765625
z,3,14,0.1182861328125
z,0,7,0.1181640625
z,24,15,0.1175537109375
z,18,14,0.117431640625
z,21,18,0.11669921875
z,24,6,0.116455078125
z,9,11,0.1162109375
z,25,6,0.1156005859375
z,24,12,0.115478515625
z,1,21,0.115234375
z,25,17,0.114990234375
z,1,3,0.11474609375
z,1,8,0.1142578125
z,2,0,0.1141357421875
z,10,15,0.1141357421875
z,2,5,0.1136474609375
z,5,0,0.1134033203125
z,8,16,0.1131591796875
z,23,15,0.1131591796875
z,20,19,0.113037109375
z,17,6,0.112060546875
z,3,6,0.11181640625
z,24,19,0.1107177734375
z,1,1,0.1103515625
z,4,16,0.1102294921875
z,26,12,0.109375
z,14,14,0.109375
z,4,13,0.109375
z,21,11,0.109375
z,14,11,0.109375
z,16,15,0.1082763671875
z,6,0,0.107666015625
z,11,6,0.107421875
z,16,20,0.107421875
z,13,16,0.106689453125
z,20,6,0.1064453125
z,9,16,0.1060791015625
z,15,8,0.10595703125
z,25,11,0.105712890625
z,4,11,0.1055908203125
z,8,1,0.1055908203125
z,19,5,0.1053466796875
z,25,16,0.1048583984375
z,2,19,0.1043701171875
z,4,21,0.103515625
z,6,7,0.103271484375
z,5,10,0.1031494140625
z,23,8,0.102783203125
z,7,17,0.1024169921875
z,21,16,0.1024169921875
z,5,11,0.10205078125
z,4,12,0.101806640625
z,12,13,0.1011962890625
z,12,16,0.1011962890625
z,6,10,0.099609375
z,16,19,0.09912109375
z,19,9,0.097900390625
z,12,20,0.097412109375
z,7,5,0.0972900390625
z,4,10,0.0965576171875
z,15,0,0.0965576171875
z,2,22,0.09619140625
z,24,18,0.0960693359375
z,4,17,0.0955810546875
z,16,21,0.095458984375
z,4,8,0.0946044921875
z,4,22,0.0946044921875
z,25,23,0.094482421875
z,17,17,0.0941162109375
z,10,4,0.0938720703125
z,18,9,0.09375
z,20,18,0.0933837890625
z,10,23,0.0927734375
z,20,9,0.0926513671875
z,3,0,0.0924072265625
z,21,20,0.091796875
z,18,12,0.091796875
z,9,9,0.0916748046875
z,7,15,0.091552734375
z,16,5,0.0914306640625
z,16,9,0.0906982421875
z,19,11,0.090576171875
z,23,6,0.090576171875
z,20,8,0.090576171875
z,26,15,0.0902099609375
z,3,19,0.08984375
z,21,17,0.08984375
z,6,12,0.0897216796875
z,4,23,0.089599609375
z,19,16,0.0894775390625
z,18,2,0.0888671875
z,9,5,0.0888671875
z,12,3,0.0885009765625
z,1,13,0.0875244140625
z,7,2,0.0869140625
z,0,4,0.0867919921875
z,1,6,0.086669921875
z,3,12,0.086181640625
z,1,14,0.086181640625
z,21,12,0.0858154296875
z,2,18,0.0853271484375
z,19,10,0.0849609375
z,27,15,0.0848388671875
z,21,15,0.084716796875
z,1,9,0.08447265625
z,17,15,0.08447265625
z,2,14,0.0843505859375
z,16,8,0.083740234375
z,3,17,0.08349609375
z,26,6,0.08349609375
z,12,15,0.0833740234375
z,19,20,0.0828857421875
z,4,0,0.082763671875
z,3,9,0.08251953125
z,17,22,0.0823974609375
z,19,3,0.0821533203125
z,2,21,0.08154296875
z,26,9,0.0811767578125
z,6,14,0.0806884765625
z,26,2,0.08056640625
z,22,13,0.0794677734375
z,20,7,0.079345703125
z,5,9,0.078857421875
z,1,19,0.0787353515625
z,2,16,0.078369140625
z,21,5,0.0780029296875
z,13,4,0.0777587890625
z,12,4,0.0775146484375
z,19,15,0.077392578125
z,27,7,0.076171875
z,24,13,0.0760498046875
z,3,13,0.0758056640625
z,1,12,0.0751953125
z,26,4,0.0750732421875
z,23,10,0.0748291015625
z,3,7,0.0745849609375
z,27,6,0.0745849609375
z,0,9,0.0740966796875
z,20,22,0.072998046875
z,25,15,0.072998046875
z,26,21,0.072021484375
z,18,1,0.0718994140625
z,22,12,0.0712890625
z,17,5,0.0711669921875
z,20,23,0.0709228515625
z,14,23,0.07080078125
z,5,2,0.07080078125
z,24,23,0.0706787109375
z,1,5,0.0701904296875
z,26,3,0.0701904296875
z,8,0,0.06982421875
z,27,14,0.0697021484375
z,6,6,0.069580078125
z,0,21,0.0693359375
z,22,1,0.0693359375
z,19,14,0.0693359375
z,18,21,0.0692138671875
z,25,8,0.0679931640625
z,26,7,0.0675048828125
z,21,21,0.0673828125
z,1,4,0.0672607421875
z,21,14,0.0672607421875
z,0,8,0.0670166015625
z,2,7,0.0667724609375
z,6,13,0.0653076171875
z,8,2,0.06494140625
