component,layer,head,abs_delta
z,26,5,0.10315704345703125
z,26,10,0.10250091552734375
z,15,11,0.101776123046875
z,5,0,0.10147857666015625
z,26,14,0.10076141357421875
z,22,11,0.10031890869140625
z,20,7,0.10001373291015625
z,21,11,0.09947967529296875
z,24,5,0.09925079345703125
z,2,3,0.09889984130859375
z,25,6,0.09687042236328125
z,18,9,0.09600067138671875
z,27,7,0.09441375732421875
z,25,9,0.09404754638671875
z,25,13,0.0938873291015625
z,23,2,0.09320831298828125
z,20,8,0.09104156494140625
z,13,4,0.09081268310546875
z,23,13,0.09078216552734375
z,22,3,0.09050750732421875
z,16,3,0.088958740234375
z,18,11,0.08870697021484375
z,11,7,0.08115386962890625
z,15,6,0.07656097412109375
z,23,12,0.07637786865234375
z,22,4,0.07538604736328125
z,20,10,0.07500457763671875
z,5,2,0.07384490966796875
z,22,15,0.073822021484375
z,8,5,0.07335662841796875
z,20,3,0.07303619384765625
z,23,15,0.07192230224609375
z,23,14,0.07065582275390625
z,27,12,0.0694732666015625
z,26,12,0.06665802001953125
z,26,7,0.06644439697265625
z,24,13,0.06569671630859375
z,15,10,0.06537628173828125
z,22,5,0.06493377685546875
z,27,10,0.06420135498046875
z,24,4,0.0638427734375
z,27,6,0.06279754638671875
z,25,11,0.06275177001953125
z,11,11,0.06101226806640625
z,25,14,0.06072235107421875
z,27,1,0.05905914306640625
z,16,11,0.05681610107421875
z,21,7,0.05664825439453125
z,26,2,0.055694580078125
z,21,4,0.05503082275390625
z,25,8,0.05364990234375
z,18,5,0.05139923095703125
z,16,5,0.04938507080078125
z,27,14,0.04799652099609375
z,21,5,0.0447540283203125
z,6,6,0.04378509521484375
z,16,7,0.04178619384765625
z,21,9,0.041259765625
z,19,5,0.03916168212890625
z,25,3,0.03691864013671875
z,23,9,0.0355072021484375
z,26,1,0.03493499755859375
z,21,8,0.03472900390625
z,24,10,0.03444671630859375
z,22,10,0.0325469970703125
z,18,4,0.03159332275390625
z,25,1,0.03121185302734375
z,6,13,0.0294036865234375
z,25,12,0.02935028076171875
z,25,4,0.02881622314453125
z,23,10,0.02857208251953125
z,27,9,0.02716827392578125
z,26,13,0.026153564453125
z,24,11,0.02569580078125
z,24,1,0.02416229248046875
z,27,2,0.02382659912109375
z,14,14,0.02338409423828125
z,27,8,0.019775390625
z,16,14,0.01873779296875
z,26,6,0.0187225341796875
z,16,15,0.01731109619140625
z,11,3,0.01673126220703125
z,26,11,0.01650238037109375
z,20,11,0.0155792236328125
z,22,13,0.01445770263671875
z,27,3,0.014312744140625
z,24,8,0.011993408203125
z,27,0,0.0105133056640625
z,27,4,0.01043701171875
z,19,4,0.010345458984375
z,25,15,0.009765625
z,27,11,0.0074462890625
